code_insee;nom_officiel;x;y;lon;lat;dist_km
44101;La Montagne;292000;2249000;-1.72817294;47.16908638;2.5493776659735774
44102;Montbert;308000;2233000;-1.50704383;47.032569;1.3090921013022032
44103;Montoir-de-Bretagne;260000;2265000;-2.16167807;47.29713409;0.0
44104;Montrelais;348000;2273000;-1.00356093;47.40846298;0.5925899436199759
44105;Mouais;300000;2305000;-1.66031944;47.67583742;1.8844045445390771
44106;Les Moutiers-en-Retz;276000;2241000;-1.93319191;47.08959219;3.0490873392709705
44107;Mouzeil;324000;2281000;-1.32616567;47.47073863;0.8282656119402302
44108;Mouzillon;324000;2241000;-1.30161556;47.11130425;0.8539584930603036
44109;Nantes;308000;2257000;-1.52254317;47.2482132;0.0
44110;Nort-sur-Erdre;308000;2281000;-1.53816388;47.4638405;0.0
44111;Notre-Dame-des-Landes;292000;2273000;-1.744601;47.38469026;0.0
44112;Noyal-sur-Brutz;324000;2313000;-1.34604466;47.75824368;0.0
44113;Nozay;300000;2297000;-1.65491252;47.60397611;0.2441581688621457
44114;Orvault;300000;2257000;-1.62809645;47.24463289;0.9181293913023569
44115;Oudon;324000;2265000;-1.3163063;47.32697109;1.1133946808916304
44116;Paimbœuf;268000;2265000;-2.05605893;47.30120144;0.5380726117332094
44117;Le Pallet;324000;2241000;-1.30161556;47.11130425;1.6339369741015324
44118;Pannecé;332000;2281000;-1.22014629;47.474042;0.0
44119;Paulx;284000;2225000;-1.81683216;46.94971287;0.0
44120;Le Pellerin;284000;2257000;-1.83915722;47.23718327;0.038560296168268754
44121;Petit-Auverné;324000;2297000;-1.33607859;47.61449624;1.066382645584978
44122;Petit-Mars;316000;2273000;-1.42709271;47.39546022;0.0
44123;Pierric;292000;2305000;-1.76671213;47.6721316;0.0
44124;Le Pin;340000;2297000;-1.1234553;47.62102339;0.2002995606495533
44125;Piriac-sur-Mer;236000;2273000;-2.48491239;47.35618372;1.091651687254275
44126;La Plaine-sur-Mer;260000;2249000;-2.1496122;47.1534357;0.07076892450990942
44127;La Planche;316000;2233000;-1.40190015;47.03603844;1.1785712231938805
44128;Plessé;284000;2289000;-1.86171793;47.52462293;0.0
44129;Pontchâteau;268000;2281000;-2.06790583;47.44490087;0.0
44130;Pont-Saint-Martin;308000;2241000;-1.51219694;47.10445196;1.289182117741802
44131;Pornic;276000;2241000;-1.93319191;47.08959219;0.23678211733119664
44132;Pornichet;244000;2265000;-2.37286513;47.28871097;2.042465241564794
44133;Port-Saint-Père;292000;2249000;-1.72817294;47.16908638;1.3835428342089258
44134;Pouillé-les-Côteaux;332000;2281000;-1.22014629;47.474042;0.2030411057256191
44135;Le Pouliguen;236000;2265000;-2.47843133;47.28435509;2.8381778753049436
44136;Préfailles;260000;2249000;-2.1496122;47.1534357;3.378000664743182
44137;Prinquiau;268000;2273000;-2.06197449;47.37305233;1.4326243819617033
44138;Puceul;300000;2289000;-1.6495202;47.53211213;0.4086872456079565
44139;Quilly;276000;2281000;-1.96198834;47.44888191;0.659733660253613
44140;La Regrippière;332000;2249000;-1.20104843;47.18648103;0.0
44141;La Remaudière;332000;2249000;-1.20104843;47.18648103;2.4015315156325276
44142;Remouillé;316000;2233000;-1.40190015;47.03603844;0.0
44143;Rezé;308000;2249000;-1.51736344;47.17633342;0.2881780849740526
44144;Riaillé;324000;2289000;-1.33111549;47.54261869;0.0
44145;Rouans;284000;2249000;-1.83355417;47.16531836;0.0
44146;Rougé;316000;2313000;-1.45262365;47.75482514;0.34361828231534625
